"dates","current_taxes","personal_inc","employee_comp","dis_personal_inc","pce","personal_saving","population","ACMTP01","ACMTP02","ACMTP05","ACMTP07","ACMTP10","DFF","DGS1","DGS5","DGS10","gdp","domestic_investment","govt_spending","fed_govt_spending","public_debt","Bill","Bond","Note","private_total_workers","private_average_worked_hours","private_average_hourly_wages","federal_employees","firm_capital"
1947-04-01,36860,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243164,35854,40274,26956,NA,NA,NA,NA,NA,NA,NA,NA,24818
1947-07-01,36316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,245968,34505,40138,26424,NA,NA,NA,NA,NA,NA,NA,NA,25171
1947-10-01,36264,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,249585,34911,39361,25038,NA,NA,NA,NA,NA,NA,NA,NA,25361
1948-01-01,38744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259745,43250,39534,24525,NA,NA,NA,NA,NA,NA,NA,NA,26540
1948-04-01,38952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,265742,47202,40875,25350,NA,NA,NA,NA,NA,NA,NA,NA,28231
1948-07-01,37684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272567,50336,42884,26585,NA,NA,NA,NA,NA,NA,NA,NA,28050
1948-10-01,36740,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,279196,52516,44660,27485,NA,NA,NA,NA,NA,NA,NA,NA,29081
1949-01-01,36528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,280366,51334,46603,28744,NA,NA,NA,NA,NA,NA,NA,NA,30160
1949-04-01,34424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275034,43140,48585,30182,NA,NA,NA,NA,NA,NA,NA,NA,28583
1949-07-01,32520,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,271351,36241,50381,31243,NA,NA,NA,NA,NA,NA,NA,NA,27476
