"dates","Corporate.profits.with.inventory.valuation.and.capital.consumption.adjustments","Domestic.industries","Financial","Nonfinancial","Corporate.profits.with.inventory.valuation.adjustment"
1948-04-01,29979,28771,2190,26580,32871
1948-07-01,31757,30473,2408,28065,34721
1948-10-01,31170,29898,2626,27271,34163
1949-01-01,32665,31385,2847,28539,35644
1949-04-01,31004,29780,3041,26739,33923
1949-07-01,28664,27496,3091,24406,31528
1949-10-01,29923,28807,3124,25683,32736
1950-01-01,26640,25648,3118,22531,29405
1950-04-01,30056,28928,3051,25877,32777
1950-07-01,33889,32805,3027,29778,36607
1950-10-01,38441,37017,3027,33990,41197
1951-01-01,41848,40408,3114,37294,44681
1951-04-01,40716,39232,3152,36080,43669
1951-07-01,40568,38876,3272,35605,43581
1951-10-01,41117,39313,3464,35849,44130
1952-01-01,42390,40394,3884,36509,45344
1952-04-01,40026,38122,3738,34384,42862
1952-07-01,38129,36249,4013,32237,40823
1952-10-01,38072,36156,4253,31902,40598
1953-01-01,42432,40580,4487,36093,44768
1953-04-01,43340,41468,4390,37078,45461
1953-07-01,42509,40609,4463,36146,44438
1953-10-01,41310,39578,4670,34908,43073
1954-01-01,34017,32329,4703,27626,35635
1954-04-01,36508,34668,4738,29930,38007
1954-07-01,37847,35991,4810,31181,39105
1954-10-01,39895,37971,4792,33178,40789
1955-01-01,43589,41361,4947,36414,43999
1955-04-01,48804,46568,5024,41544,48607
1955-07-01,50107,47867,5092,42774,49560
1955-10-01,50177,47773,5085,42688,49539
1956-01-01,51582,49046,5096,43950,51111
1956-04-01,49420,46700,5120,41580,49373
1956-07-01,49642,46882,5325,41557,49898
1956-10-01,49309,46405,5507,40899,49747
1957-01-01,50214,47314,5602,41712,50711
1957-04-01,51659,48647,5670,42977,52094
1957-07-01,50289,47001,5570,41431,50731
1957-10-01,49340,46128,5768,40359,49858
1958-01-01,45271,42415,5801,36613,45934
1958-04-01,39466,36886,6006,30880,40344
1958-07-01,40608,38060,6047,32013,41588
1958-10-01,44759,42255,6021,36235,45728
1959-01-01,50593,48133,6391,41742,51438
1959-04-01,54265,51765,6655,45110,54874
1959-07-01,59067,56527,6974,49553,59402
1959-10-01,54190,51398,7615,43783,54217
1960-01-01,54535,51495,7927,43567,54216
1960-04-01,58609,55549,8199,47350,57910
1960-07-01,54796,51628,8267,43361,53824
1960-10-01,53807,50731,8152,42579,52671
1961-01-01,51506,48262,8211,40052,50314
1961-04-01,50242,46854,8350,38504,49103
1961-07-01,54481,51305,8066,43239,53111
1961-10-01,57243,53899,8047,45852,55357
1962-01-01,61816,58460,8117,50343,59131
1962-04-01,62551,59179,8267,50912,58784
1962-07-01,62521,58897,8546,50351,57902
1962-10-01,64244,60528,8621,51907,59005
1963-01-01,66857,62481,8412,54069,61230
1963-04-01,67197,63053,8243,54809,61412
1963-07-01,70229,66273,8091,58182,64280
1963-10-01,71657,67645,8079,59566,65537
1964-01-01,72951,68739,8124,60615,66652
1964-04-01,77053,72493,8545,63948,70569
1964-07-01,77320,72912,8657,64255,70653
1964-10-01,78439,73967,8731,65236,71592
1965-01-01,78019,73583,8757,64826,70994
1965-04-01,85843,81071,8574,72498,78643
1965-07-01,88045,83101,8744,74357,80686
1965-10-01,89261,84645,9153,75491,81757
1966-01-01,94005,89513,10169,79345,86373
1966-04-01,97376,93028,10566,82462,89630
1966-07-01,96371,91883,10394,81489,88540
1966-10-01,94828,90280,10636,79644,86941
1967-01-01,95912,91184,10529,80655,87997
1967-04-01,93326,88638,10708,77930,85412
1967-07-01,92153,87701,10909,76792,84278
