,dates,CPI,employment,unemployment
0,2/1/1964,30.94,68327,4029
1,3/1/1964,30.91,68751,3932
2,4/1/1964,30.94,68763,3950
3,5/1/1964,30.95,69356,3918
4,6/1/1964,30.98,69631,3764
5,7/1/1964,31.01,69218,3814
6,8/1/1964,31.02,69399,3608
7,9/1/1964,31.05,69463,3655
8,10/1/1964,31.08,69578,3712
9,11/1/1964,31.12,69582,3726
10,12/1/1964,31.21,69735,3551
11,1/1/1965,31.25,69814,3651
12,2/1/1965,31.28,69997,3572
13,3/1/1965,31.28,70127,3730
14,4/1/1965,31.31,70439,3510
15,5/1/1965,31.38,70633,3595
16,6/1/1965,31.48,71034,3432
17,7/1/1965,31.61,71025,3387
18,8/1/1965,31.58,71460,3301
19,9/1/1965,31.55,71362,3254
20,10/1/1965,31.62,71286,3216
21,11/1/1965,31.65,71695,3143
22,12/1/1965,31.75,71724,3073
23,1/1/1966,31.85,72062,3031
24,2/1/1966,31.88,72198,2988
25,3/1/1966,32.08,72134,2820
26,4/1/1966,32.18,72188,2887
27,5/1/1966,32.28,72510,2828
28,6/1/1966,32.35,72497,2950
29,7/1/1966,32.38,72775,2872
30,8/1/1966,32.45,72860,2876
31,9/1/1966,32.65,73146,2900
32,10/1/1966,32.75,73258,2798
33,11/1/1966,32.85,73401,2798
34,12/1/1966,32.88,73840,2770
35,1/1/1967,32.92,73729,2912
36,2/1/1967,32.9,73671,2968
37,3/1/1967,33,73606,2915
38,4/1/1967,33,73439,2889
39,5/1/1967,33.1,73882,2895
40,6/1/1967,33.1,73844,2929
41,7/1/1967,33.3,74278,2992
42,8/1/1967,33.4,74520,2944
43,9/1/1967,33.5,74767,2945
44,10/1/1967,33.6,74854,2958
45,11/1/1967,33.7,75051,3143
46,12/1/1967,33.9,75125,3066
47,1/1/1968,34,75473,3018
48,2/1/1968,34.1,74700,2878
49,3/1/1968,34.2,75229,3001
50,4/1/1968,34.3,75379,2877
51,5/1/1968,34.4,75561,2709
52,6/1/1968,34.5,76107,2740
53,7/1/1968,34.7,76182,2938
54,8/1/1968,34.9,76087,2883
55,9/1/1968,35,76043,2768
56,10/1/1968,35.1,76172,2686
57,11/1/1968,35.3,76224,2689
58,12/1/1968,35.4,76494,2715
59,1/1/1969,35.6,76778,2685
60,2/1/1969,35.7,76805,2718
61,3/1/1969,35.8,77327,2692
62,4/1/1969,36.1,77367,2712
63,5/1/1969,36.3,77523,2758
64,6/1/1969,36.4,77412,2713
65,7/1/1969,36.6,77880,2816
66,8/1/1969,36.8,77959,2868
67,9/1/1969,36.9,78250,2856
68,10/1/1969,37.1,78250,3040
69,11/1/1969,37.3,78445,3049
70,12/1/1969,37.5,78541,2856
71,1/1/1970,37.7,78740,2884
72,2/1/1970,37.9,78780,3201
73,3/1/1970,38.1,78698,3453
74,4/1/1970,38.3,78863,3635
75,5/1/1970,38.5,78930,3797
76,6/1/1970,38.6,78564,3919
77,7/1/1970,38.8,78413,4071
78,8/1/1970,38.9,78726,4175
79,9/1/1970,39,78624,4256
80,10/1/1970,39.2,78498,4456
81,11/1/1970,39.4,78685,4591
82,12/1/1970,39.6,78650,4898
83,1/1/1971,39.8,78594,5076
84,2/1/1971,39.9,78864,4986
85,3/1/1971,39.9,78700,4903
86,4/1/1971,40,78588,4987
87,5/1/1971,40.1,78987,4959
88,6/1/1971,40.3,79139,4996
89,7/1/1971,40.5,78757,4949
90,8/1/1971,40.6,79305,5035
91,9/1/1971,40.7,79539,5134
92,10/1/1971,40.8,79689,5042
93,11/1/1971,40.9,79918,4954
94,12/1/1971,41,80297,5161
95,1/1/1972,41.1,80471,5154
96,2/1/1972,41.2,80959,5019
97,3/1/1972,41.4,81108,4928
98,4/1/1972,41.4,81573,5038
99,5/1/1972,41.5,81655,4959
100,6/1/1972,41.6,81887,4922
101,7/1/1972,41.7,82083,4923
102,8/1/1972,41.8,82230,4913
103,9/1/1972,41.9,82578,4939
104,10/1/1972,42.1,82543,4849
105,11/1/1972,42.2,82616,4875
106,12/1/1972,42.4,82990,4602
107,1/1/1973,42.5,83400,4543
108,2/1/1973,42.7,83161,4326
109,3/1/1973,43,83912,4452
