Record Date,Security Type Description,Security Class Description,Securities Sold Count
2025-09-30,Savings Bond,EE,4843
2025-09-30,Savings Bond,I,18521
2025-09-30,Marketable,null,51608
2025-08-31,Savings Bond,EE,15639
2025-08-31,Savings Bond,I,63113
2025-08-31,Marketable,null,168668
2025-07-31,Savings Bond,EE,15920
2025-07-31,Savings Bond,I,65081
2025-07-31,Marketable,Bill,218523
2025-07-31,Marketable,Bond,1898
2025-07-31,Marketable,Note,7512
2025-06-30,Savings Bond,EE,16067
2025-06-30,Savings Bond,I,66449
2025-06-30,Marketable,Bill,166897
2025-06-30,Marketable,Bond,4293
2025-06-30,Marketable,Note,12424
2025-05-31,Savings Bond,EE,16366
2025-05-31,Savings Bond,I,74936
2025-05-31,Marketable,Bill,195902
2025-05-31,Marketable,Bond,760
2025-05-31,Marketable,Note,4117
2025-04-30,Savings Bond,EE,16561
2025-04-30,Savings Bond,I,86720
2025-04-30,Marketable,Bill,199777
2025-04-30,Marketable,Bond,1732
2025-04-30,Marketable,Note,8993
2025-03-31,Savings Bond,EE,16379
2025-03-31,Savings Bond,I,72078
2025-03-31,Marketable,Bill,175867
2025-03-31,Marketable,Bond,1398
2025-03-31,Marketable,Note,9445
2025-02-28,Savings Bond,EE,15941
2025-02-28,Savings Bond,I,71245
2025-02-28,Marketable,Bill,179409
2025-02-28,Marketable,Bond,2824
2025-02-28,Marketable,Note,12266
2025-01-31,Savings Bond,EE,20875
2025-01-31,Savings Bond,I,111814
2025-01-31,Marketable,Bill,199315
2025-01-31,Marketable,Bond,2042
2025-01-31,Marketable,Note,15512
2024-12-31,Savings Bond,EE,31020
2024-12-31,Savings Bond,I,100607
2024-12-31,Marketable,Bill,188044
2024-12-31,Marketable,Bond,2891
2024-12-31,Marketable,Note,18362
2024-11-30,Savings Bond,EE,19212
2024-11-30,Savings Bond,I,79404
2024-11-30,Marketable,Bill,170738
2024-11-30,Marketable,Bond,737
2024-11-30,Marketable,Note,4422
2024-10-31,Savings Bond,EE,18594
